"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"301","LAFAYETTE ","FL ",8,4,"HMO ",801,947,1.18227215980025
"302","LEON ","FL ",5,3,"COST ",25089,5007,0.199569532464427
"303","LEVY ","FL ",1,0,"HMO ",7804,14,0.0017939518195797
"304","LIBERTY ","FL ",4,3,"COST ",1026,774,0.754385964912281
"305","MANATEE ","FL ",8,3,"HCPP ",59059,5547,0.093923026126416
"306","MARTIN ","FL ",13,7,"HCPP ",35249,3858,0.109449913472723
"307","MIAMI-DADE ","FL ",27,13,"HMO ",347328,160716,0.462721116639027
"308","NASSAU ","FL ",17,3,"HMO ",10846,31974,2.94799926240089
"309","OKALOOSA ","FL ",2,0,"HCPP ",28374,63,0.00222034256713893
"310","OKEECHOBEE ","FL ",3,2,"HMO ",7612,679,0.0892012611665791
"311","OSCEOLA ","FL ",7,2,"HCPP ",31045,6104,0.196617812852311
"312","PALM BEACH ","FL ",29,6,"HCPP ",254676,68493,0.268941714178014
"313","PASCO ","FL ",11,5,"HCPP ",92419,30120,0.325907010463216
"314","PINELLAS ","FL ",17,5,"HCPP ",200313,48361,0.241427166484452
"315","PUTNAM ","FL ",15,3,"HCPP ",15383,319,0.0207371774036274
"316","SAINT JOHNS ","FL ",2,1,"HMO ",26725,747,0.0279513564078578
"317","SAINT LUCIE ","FL ",9,3,"HCPP ",48306,5680,0.117583737009895
"318","SANTA ROSA ","FL ",2,1,"HMO ",20183,1593,0.0789278105336174
"319","SARASOTA ","FL ",9,2,"HCPP ",111811,5517,0.0493421935229986
"320","SEMINOLE ","FL ",7,4,"HCPP ",45734,7727,0.168955263042813
"321","SUWANNEE ","FL ",1,0,"HMO ",8374,18,0.00214951038930021
"322","TAYLOR ","FL ",7,6,"HMO ",3571,863,0.241669000280034
"323","VOLUSIA ","FL ",9,2,"HCPP ",110013,32753,0.297719360439221
"324","WAKULLA ","FL ",2,2,"COST ",4115,673,0.163547995139733
"325","WALTON ","FL ",4,1,"HCPP ",6754,124,0.0183594906721943
"326","APPLING ","GA ",1,1,"PFFS ",2713,20,0.00737191301142647
"327","ATKINSON ","GA ",0,0,"HMO ",1159,0,0
"328","BACON ","GA ",0,0,"PFFS ",1628,0,0
"329","BANKS ","GA ",2,2,"PFFS ",1811,37,0.0204307012700166
"330","BARROW ","GA ",3,2,"PFFS ",6834,178,0.0260462393912789
"331","BARTOW ","GA ",4,2,"PFFS ",11279,288,0.0255341785619292
"332","BEN HILL ","GA ",0,0,"HMO ",3072,0,0
"333","BERRIEN ","GA ",0,0,"PFFS ",2938,0,0
"334","BLECKLEY ","GA ",0,0,"PFFS ",2021,0,0
"335","BRANTLEY ","GA ",1,1,"PFFS ",2220,20,0.00900900900900901
"336","BROOKS ","GA ",0,0,"HMO ",2364,0,0
"337","BRYAN ","GA ",1,1,"PFFS ",3143,33,0.010499522748966
"338","BULLOCH ","GA ",1,0,"PFFS ",6424,26,0.00404732254047323
"339","BURKE ","GA ",5,2,"PFFS ",3175,464,0.146141732283465
"340","BUTTS ","GA ",2,2,"PPO ",3605,75,0.0208044382801664
"341","CAMDEN ","GA ",10,6,"PFFS ",4240,10366,2.44481132075472
"342","CANDLER ","GA ",0,0,"PFFS ",1681,0,0
"343","CATOOSA ","GA ",3,1,"PFFS ",6243,81,0.0129745314752523
